Name,RegionName,Description
Australia,Australian Capital Territory,Territory
Australia,New South Wales,State
Australia,Northern Territory,Territory
Australia,Queensland,State
Australia,South Australia,State
Australia,Tasmania,State
Australia,Victoria,State
Australia,Western Australia,State
China,Anhui,Province
China,Beijing,Province
China,Chongqing,Province
China,Fujian,Province
China,Gansu,Province
China,Guangdong,Province
China,Guangxi,Province
China,Guizhou,Province
China,Hainan,Province
China,Hebei,Province
China,Heilongjiang,Province
China,Henan,Province
China,Hong Kong,Province
China,Hubei,Province
China,Hunan,Province
China,Inner Mongolia,Province
China,Jiangsu,Province
China,Jiangxi,Province
China,Jilin,Province
China,Liaoning,Province
China,Macau,Province
China,Ningxia,Province
China,Qinghai,Province
China,Shaanxi,Province
China,Shandong,Province
China,Shanghai,Province
China,Shanxi,Province
China,Sichuan,Province
China,Taiwan,Autonomous Region
China,Tianjin,Province
China,Tibet,Autonomous Region
China,Xinjiang,Province
China,Yunnan,Province
China,Zhejiang,Province
Denmark,Faroe Islands,Territory
Denmark,Greenland,Territory
France,French Guiana,Territory
France,French Polynesia,Territory
France,Guadeloupe,Territory
France,Mayotte,Territory
France,New Caledonia,Territory
France,Reunion,Territory
France,Saint Barthelemy,Territory
France,St Martin,Territory
France,Martinique,Territory
Netherlands,Aruba,Territory
Netherlands,Curacao,Territory
Netherlands,Sint Maarten,Territory
United Kingdom,Bermuda,Territory
United Kingdom,Cayman Islands,Territory
United Kingdom,Channel Islands,Territory
United Kingdom,Gibraltar,Territory
United Kingdom,Isle of Man,Territory
United Kingdom,Montserrat,Territory
United Kingdom,Anguilla,Territory
United Kingdom,British Virgin Islands,Territory
United Kingdom,Turks and Caicos Islands,Territory
Netherlands,"Bonaire, Sint Eustatius and Saba",Territory
United Kingdom,Falkland Islands (Malvinas),Territory
France,Saint Pierre and Miquelon,Territory
